T:0.109375,|0.0,V:0.15625,|0.0,
T:0.125,|0.0,V:0.11458333333333333,|0.0,
T:0.08333333333333333,|0.0,V:0.125,|0.0,
T:0.11979166666666667,|0.0,V:0.13541666666666666,|0.0,
T:0.09375,|0.0,V:0.140625,|0.0,
T:0.109375,|0.0,V:0.15625,|0.0,
T:0.16145833333333334,|0.0,V:0.09895833333333333,|0.0,
T:0.11979166666666667,|0.0,V:0.140625,|0.0,
T:0.11458333333333333,|0.0,V:0.140625,|0.0,
T:0.14583333333333334,|0.0,V:0.11979166666666667,|0.0,
T:0.16145833333333334,|0.0,V:0.13541666666666666,|0.0,
T:0.09895833333333333,|0.0,V:0.109375,|0.0,
T:0.125,|0.0,V:0.109375,|0.0,
T:0.11979166666666667,|0.0,V:0.140625,|0.0,
T:0.09895833333333333,|0.0,V:0.13020833333333334,|0.0,
T:0.15625,|0.0,V:0.15104166666666666,|0.0,
T:0.13541666666666666,|0.0,V:0.125,|0.0,
T:0.16145833333333334,|0.0,V:0.109375,|0.0,
T:0.109375,|0.0,V:0.109375,|0.0,
T:0.125,|0.005208333333333333,V:0.13541666666666666,|0.0,
T:0.14583333333333334,|0.0,V:0.16145833333333334,|0.0,
T:0.13020833333333334,|0.0,V:0.09895833333333333,|0.0,
T:0.13020833333333334,|0.0,V:0.15104166666666666,|0.005208333333333333,
T:0.11458333333333333,|0.0,V:0.08854166666666667,|0.0,
T:0.109375,|0.0,V:0.10416666666666667,|0.0,
T:0.14583333333333334,|0.0,V:0.13020833333333334,|0.005208333333333333,
T:0.11458333333333333,|0.0,V:0.11458333333333333,|0.0,
T:0.15104166666666666,|0.0,V:0.109375,|0.0,
T:0.109375,|0.0,V:0.09375,|0.0,
T:0.10416666666666667,|0.0,V:0.125,|0.0,
T:0.08854166666666667,|0.0,V:0.13020833333333334,|0.0,
T:0.14583333333333334,|0.0,V:0.125,|0.0,
T:0.10416666666666667,|0.0,V:0.15104166666666666,|0.0,
T:0.15104166666666666,|0.0,V:0.171875,|0.0,
T:0.13541666666666666,|0.0,V:0.109375,|0.0,
T:0.10416666666666667,|0.010416666666666666,V:0.11458333333333333,|0.005208333333333333,
T:0.140625,|0.0,V:0.11458333333333333,|0.0,
T:0.09375,|0.0,V:0.10416666666666667,|0.0,
T:0.15625,|0.0,V:0.15625,|0.0,
T:0.125,|0.0,V:0.171875,|0.005208333333333333,
T:0.11458333333333333,|0.0,V:0.15104166666666666,|0.0,
T:0.11979166666666667,|0.0,V:0.140625,|0.0,
T:0.078125,|0.015625,V:0.19270833333333334,|0.0,
T:0.14583333333333334,|0.0,V:0.14583333333333334,|0.0,
T:0.14583333333333334,|0.005208333333333333,V:0.18229166666666666,|0.005208333333333333,
T:0.125,|0.0,V:0.11458333333333333,|0.0,
T:0.16145833333333334,|0.0,V:0.11979166666666667,|0.0,
T:0.13020833333333334,|0.0,V:0.140625,|0.0,
T:0.19791666666666666,|0.0,V:0.18229166666666666,|0.0,
T:0.16666666666666666,|0.0,V:0.18229166666666666,|0.0,
T:0.125,|0.0,V:0.13541666666666666,|0.0,
T:0.171875,|0.0,V:0.14583333333333334,|0.0,
T:0.16666666666666666,|0.0,V:0.13020833333333334,|0.0,
T:0.13541666666666666,|0.0,V:0.15104166666666666,|0.0,
T:0.15625,|0.0,V:0.14583333333333334,|0.005208333333333333,
T:0.13020833333333334,|0.005208333333333333,V:0.13020833333333334,|0.0,
T:0.1875,|0.005208333333333333,V:0.15104166666666666,|0.0,
